牌組ID,牌組名稱,牌組圖示,卡牌名稱,說明,卡牌圖示,圖片,稀有度,標籤
items,物品卡,□,鐵錘,沉重可靠，能破壞門鎖、固定木板，也可能因為太吵引來危險。,"
item_鐵錘.png
",,A,
items,物品卡,□,手槍,精準有效，只可惜你只有 7 發子彈，每一次開火都要說得出代價。,"
item_手槍.png
",,A,
items,物品卡,□,網子,能捕捉、阻擋、拖曳，也能做臨時吊床，但怕刀割與火燒。,"
item_網子.png
",,A,
items,物品卡,□,水壺,保存飲水，是長期生存的核心，只是不能自己生出水。,"
item_水壺.png
",,A,
items,物品卡,□,手電筒,黑暗中的眼睛，也能發出求救訊號，但電池有限。,"
item_手電筒.png
",,A,
items,物品卡,□,繩索,攀爬、固定、救援都能用，前提是你會打結。,"
item_繩索.png
",,A,
items,物品卡,□,急救包,處理傷口與感染風險，是隊伍續命工具，但內容物會耗盡。,"
item_急救包.png
",,A,
items,物品卡,□,打火機,能生火、消毒、嚇阻，也可能暴露位置或引發火災。,"
item_打火機.png
",,A,
items,物品卡,□,太陽能充電板,替通訊設備續命，晴天很好用，陰雨天就尷尬。,"
item_太陽能充電板.png
",,B,
items,物品卡,□,平底鍋,能煮食也能防身，聲音響亮到很有存在感。,"
item_平底鍋.png
",,A,
items,物品卡,□,收音機,接收外界資訊與求救頻道，但訊號可能斷斷續續。,"
item_收音機.png
",,A,
items,物品卡,□,濾水器,把髒水變成可飲用資源，是長期生存神器，但濾芯有限。,"
item_濾水器.png
",,A,
items,物品卡,□,地圖,提供大方向與地形資訊，但如果環境改變就需要重新判斷。,"
item_地圖.png
",,B,
items,物品卡,□,雨衣,擋雨保暖，也能收集雨水，但防護能力有限。,"
item_雨衣.png
",,B,
items,物品卡,□,瑞士刀,小型多功能工具，能切、撬、修，只是每項能力都不是最強。,"
item_瑞士刀.png
",,A,
items,物品卡,□,罐頭,立即補充熱量，保存期長，但吃完就只剩空罐。,"
item_罐頭.png
",,A,
items,物品卡,□,膠帶,修補、固定、封口都能做，是臨時解法之王。,"
item_膠帶.png
",,A,
items,物品卡,□,防毒面具,面對煙霧或未知氣體很珍貴，但濾罐壽命有限。,"
item_防毒面具.png
",,A,
items,物品卡,□,擴音器,能指揮群眾或製造聲東擊西，但也會暴露位置。,"
item_擴音器.png
",,B,
items,物品卡,□,雨傘,遮雨、遮陽、當簡易盾牌，面對強風就不太可靠。,"
item_雨傘.png
",,B,
items,物品卡,□,鏟子,能挖掘、築壕、防身，缺點是笨重。,"
item_鏟子.png
",,A,
items,物品卡,□,筆記本,記錄線索、分配任務、保存證據，但怕水怕火。,"
item_筆記本.png
",,B,
items,物品卡,□,哨子,低成本求救工具，聲音穿透力強，但不能亂吹。,"
item_哨子.png
",,B,
items,物品卡,□,保溫毯,輕巧保暖，也能反光求救，但很容易破。,"
item_保溫毯.png
",,A,
items,物品卡,□,釣魚線,能釣魚、綁線、設陷阱，但需要耐心與技巧。,"
item_釣魚線.png
",,B,
items,物品卡,□,安全帽,保護頭部，適合穿越倒塌建築，但保護範圍有限。,"
item_安全帽.png
",,B,
items,物品卡,□,酒精,消毒、助燃、交換資源都可用，但保存不慎會危險。,"
item_酒精.png
",,A,
items,物品卡,□,鏡子,反光求救、觀察轉角，也能製造心理壓力。,"
item_鏡子.png
",,B,
items,物品卡,□,行動電源,讓手機多活一段時間，但電量終究會歸零。,"
item_行動電源.png
",,B,
items,物品卡,□,睡袋,保暖與休息品質提高，但佔空間。,"
item_睡袋.png
",,A,
items,物品卡,□,防水袋,保護重要物資，不能直接解決危機但能降低損失。,"
item_防水袋.png
",,B,
items,物品卡,□,撬棍,開門、拆箱、防身都實用，但看起來很有攻擊性。,"
item_撬棍.png
",,A,
items,物品卡,□,蠟燭,照明與計時工具，不需電池，但怕風也怕水。,"
item_蠟燭.png
",,B,
items,物品卡,□,肥皂,清潔、降低感染、保持秩序，常被低估。,"
item_肥皂.png
",,B,
items,物品卡,□,背包,讓資源能被帶走，但裝越多越拖慢速度。,"
item_背包.png
",,A,
items,物品卡,□,鋁箔紙,保溫、反光、包裹食物，輕巧但脆弱。,"
item_鋁箔紙.png
",,B,
items,物品卡,□,口罩,阻隔灰塵與飛沫，有基本防護但不是萬能。,"
item_口罩.png
",,B,
items,物品卡,□,手套,保護雙手，讓人敢搬尖銳物，但會降低觸感。,"
item_手套.png
",,B,
items,物品卡,□,保鮮膜,封存食物、包紮、隔水，創意用法很多。,"
item_保鮮膜.png
",,B,
items,物品卡,□,彈珠,能製造滑倒陷阱或分散注意，但效果不穩定。,"
item_彈珠.png
",,C,
items,物品卡,□,粉筆,標記路線與訊息，簡單便宜但遇水就消失。,"
item_粉筆.png
",,B,
items,物品卡,□,垃圾袋,可當雨披、水袋、收納袋，是被低估的生存道具。,"
item_垃圾袋.png
",,A,
items,物品卡,□,小刀,切割能力直接明確，但距離短也有安全風險。,"
item_小刀.png
",,A,
items,物品卡,□,罐頭開罐器,在罐頭很多時是神器，在罐頭很少時像是裝飾。,"
item_罐頭開罐器.png
",,B,
items,物品卡,□,小型無人機,偵查快速安全，但電量、噪音與操控都是問題。,"
item_小型無人機.png
",,A,
items,物品卡,□,手錶,時間就是金錢，對吧？,"
item_手錶.png
",,B,
items,物品卡,□,折疊椅,休息、墊高、阻擋都可用，但不算關鍵裝備。,"
item_折疊椅.png
",,C,
items,物品卡,□,滅火器,能處理火災也可短暫阻擋敵人，但用完就空。,"
item_滅火器.png
",,A,
items,物品卡,□,滑板,平地移動快速，也能搬運物資，但地形限制很大。,"
item_滑板.png
",,C,
items,物品卡,□,熱水瓶,保溫與儲水兼具，也能提供心理安定感。,"
item_熱水瓶.png
",,B,
items,物品卡,□,捕鼠夾,可設陷阱、捕小動物，但需要精準擺放。,"
item_捕鼠夾
",,C,
items,物品卡,□,望遠鏡頭,觀察距離大幅提升，但缺少相機時用途變窄。,"
item_望遠鏡頭
",,B,
items,物品卡,□,雨鞋,穿越積水與泥地安全，行動聲音較明顯。,"
item_雨鞋
",,B,
items,物品卡,□,空玻璃瓶,可裝水、製造聲響、當容器，也容易碎。,"
item_空玻璃瓶
",,B,
items,物品卡,□,醫療手冊,把知識帶在身上，但讀懂與操作仍需冷靜。,"
item_醫療手冊
",,B,
items,物品卡,□,小鏡頭攝影機,留下證據與偵查畫面，但需要電力與儲存空間。,"
item_小鏡頭攝影機
",,B,
items,物品卡,□,折疊梯,跨越高度障礙，但重量和展開時間是問題。,"
item_折疊梯
",,A,
items,物品卡,□,防水火柴,比普通火柴可靠，仍然要省著用。,"
item_防水火柴
",,A,
items,物品卡,□,胡椒噴霧,近距離防身有效，但風向錯了可能害到自己。,"
item_胡椒噴霧
",,A,
items,物品卡,□,指南旗,集合與標記位置清楚，但會暴露行蹤。,"
item_指南旗
",,B,
items,物品卡,□,折疊水桶,能運水與收納，沒水源時價值下降。,"
item_折疊水桶
",,B,
items,物品卡,□,衛星電話,求救神器，但訊號、電力與權限都可能卡住。,"
item_衛星電話
",,A,
items,物品卡,□,手搖發電機,不用靠天氣也能供電，但需要體力與時間。,"
item_手搖發電機
",,A,
items,物品卡,□,夜視鏡,夜間優勢明顯，但電力與視野限制要考慮。,"
item_夜視鏡
",,A,
items,物品卡,□,防彈背心,提高防護，但沉重且不能保護全身。,"
item_防彈背心
",,A,
items,物品卡,□,迷你瓦斯爐,能煮水煮食，燃料有限且要通風。,"
item_迷你瓦斯爐
",,A,
items,物品卡,□,折疊鋸,處理木材與障礙好用，但速度不快。,"
item_折疊鋸
",,A,
items,物品卡,□,醫療夾板,穩定骨折傷勢，關鍵時刻能讓隊友移動。,"
item_醫療夾板
",,B,
items,物品卡,□,反光背心,救援時醒目，躲避危險時反而麻煩。,"
item_反光背心
",,B,
items,物品卡,□,針線包,修補裝備與衣物，細小卻能延長資源壽命。,"
item_針線包
",,B,
items,物品卡,□,防水筆,能在潮濕環境留下訊息，資訊傳遞穩定。,"
item_防水筆
",,B,
items,物品卡,□,鋼杯,能喝水、煮水、量取物品，簡單但耐用。,"
item_鋼杯
",,A,
items,物品卡,□,小型濾網,過濾雜質或捕捉小物，不能處理細菌病毒。,"
item_小型濾網
",,B,
items,物品卡,□,百科全書,你該知道的應有盡有，但知識也有重量。,,,B,
items,物品卡,□,求生毯,保暖、反光、防潮，輕便但易破。,,,A,
items,物品卡,□,塑膠水管,導水、吹氣、連接裝置，創意空間很大。,,,C,
